user_id,kyc_record_count,kyc_status_values,kyc_status_count,risk_segment_values,risk_segment_count,rejected_kyc_records,high_risk_kyc_records,pending_kyc_records,median_monthly_income,city_values,occupation_values,invalid_pan_records,invalid_aadhaar_records,latest_kyc_status,latest_risk_segment,latest_signup_timestamp,profile_inconsistency_flag
USR10001,1,VERIFIED,1,MEDIUM,1,0,0,0,37535.0,POONA,RETIRED,1,0,VERIFIED,MEDIUM,2025-09-27 00:00:00,False
USR10007,1,VERIFIED,1,MEDIUM,1,0,0,0,20393.0,BANGALORE,UNEMPLOYED,1,0,VERIFIED,MEDIUM,2025-02-07 00:00:00,False
USR10010,1,PENDING,1,HIGH,1,0,1,1,48376.0,JALANDAR,GIG_WORKER,0,0,PENDING,HIGH,2024-07-26 09:55:29,False
USR10013,1,VERIFIED,1,HIGH,1,0,1,0,,PUNE,SALARIED,0,0,VERIFIED,HIGH,2025-10-09 00:00:00,False
USR10014,1,VERIFIED,1,MEDIUM,1,0,0,0,18633.0,BOMBAY,FREELANCER,0,1,VERIFIED,MEDIUM,2026-01-28 00:00:00,False
USR10015,1,VERIFIED,1,LOW,1,0,0,0,7232.0,LDH,FREELANCER,0,0,VERIFIED,LOW,,False
USR10020,1,VERIFIED,1,MEDIUM,1,0,0,0,31737.0,DELHI,RETIRED,0,0,VERIFIED,MEDIUM,2024-04-10 00:00:00,False
USR10022,1,VERIFIED,1,LOW,1,0,0,0,,ASR,GIG_WORKER,0,0,VERIFIED,LOW,,False
USR10024,1,VERIFIED,1,HIGH,1,0,1,0,22557.0,KOLKATA,SALARIED,0,0,VERIFIED,HIGH,2024-11-19 01:48:00,False
USR10027,1,VERIFIED,1,LOW,1,0,0,0,18134.0,DILLI,RETIRED,1,0,VERIFIED,LOW,,False
USR10030,1,VERIFIED,1,MEDIUM,1,0,0,0,83.4,CHENNAI,UNEMPLOYED,0,1,VERIFIED,MEDIUM,,False
USR10031,1,PENDING,1,LOW,1,0,0,1,27676.0,POONA,SELF_EMPLOYED,0,0,PENDING,LOW,2026-02-03 00:00:00,False
USR10043,2,PENDING | VERIFIED,2,LOW | MEDIUM,2,0,0,1,18254.0,LDH | MUMBAY,BUSINESS_OWNER | UNEMPLOYED,0,1,VERIFIED,MEDIUM,2025-03-21 00:00:00,True
USR10045,1,REJECTED,1,MEDIUM,1,1,0,0,42.1,PUNE,STUDENT,0,0,REJECTED,MEDIUM,2024-05-13 00:00:00,False
USR10046,1,VERIFIED,1,MEDIUM,1,0,0,0,33616.0,JALANDAR,SELF_EMPLOYED,0,0,VERIFIED,MEDIUM,2025-03-30 00:00:00,False
USR10047,1,PENDING,1,LOW,1,0,0,1,38887.0,POONA,SALARIED,0,0,PENDING,LOW,,False
