merchant_id,merchant_reference_record_count,merchant_name,merchant_category,business_type,merchant_status,mcc,city,state,declared_avg_ticket_size,merchant_status_values,merchant_category_values,merchant_status_count,merchant_category_count,invalid_mcc_records,suspended_reference_records,merchant_reference_inconsistency_flag
MCH1001,1,Anand-Kothari,KIRANA,PARTNERSHIP,ACTIVE,MISC,PUNE,MAHARASHTRA,332.55,ACTIVE,KIRANA,1,1,1,0,False
MCH1002,1,"Apte, Saha and Edwin",FOOD,PRIVATE_LIMITED,ACTIVE,05812,BANGALORE,KARNATAKA,1671.2,ACTIVE,FOOD,1,1,1,0,False
MCH1003,1,"Nayar, Batta and Barad",FASHION,PRIVATE_LIMITED,ACTIVE,5699,CHENNAI,TAMIL_NADU,792.91,ACTIVE,FASHION,1,1,0,0,False
MCH1004,1,Pillai-Mohan,TRAVEL,SOLE_PROPRIETOR,ACTIVE,4131,LKO,UTTAR_PRADESH,342.7,ACTIVE,TRAVEL,1,1,0,0,False
MCH1005,1,SAGAR AND SONS,MEDICAL_STORE,PARTNERSHIP,ACTIVE,5912,LUDHIANA,PUNJAB,967.53,ACTIVE,MEDICAL_STORE,1,1,0,0,False
MCH1007,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,164.45,ACTIVE | INACTIVE,EATING_PLACE | HOTEL_LODGING,2,2,1,0,True
MCH1009,1,Bha11a-Dave,BUS_TAXI,INDIVIDUAL,ACTIVE,,MUMBAI,MAHARASHTRA,1496.0,ACTIVE,BUS_TAXI,1,1,1,0,False
MCH1010,1,Menon-Andra,GROCERY,PRIVATE_LIMITED,ACTIVE,,DELHI,DELHI,678.36,ACTIVE,GROCERY,1,1,1,0,False
MCH1011,2,Wable and Sons,GROCERIES,PRIVATE_LIMITED,MULTIPLE_VALUES,5411,LUDHIANA,PUNJAB,6536.07,ACTIVE | SUSPENDED,GROCERIES,2,1,0,1,True
MCH1014,2,MULTIPLE_VALUES,MULTIPLE_VALUES,PARTNERSHIP,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1096.96,ACTIVE,DEPARTMENT_STORE | FOOD,1,2,2,0,True
MCH1015,1,Mannan-Subramaniam,HOTELS,INDIVIDUAL,ACTIVE,7011,HYD,TELANGANA,,ACTIVE,HOTELS,1,1,0,0,False
MCH1016,3,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,756.28,ACTIVE | SUSPENDED,BOOKS_STATIONERY | RESTAURANT | TELECOM,2,3,1,1,True
MCH1018,1,Kannan-Khatri,DEPT_STORE,INDIVIDUAL,ACTIVE,5311,JALANDAR,PUNJAB,1791.0,ACTIVE,DEPT_STORE,1,1,0,0,False
MCH1019,1,Iyer-Thaker,CLOTHING,PARTNERSHIP,ACTIVE,5699,KOLKATA,WEST_BENGAL,,ACTIVE,CLOTHING,1,1,0,0,False
MCH1020,1,Garg-Kale,TRANSPRT,SOLE_PROPRIETOR,ACTIVE,4131,ASR,PUNJAB,1015.68,ACTIVE,TRANSPRT,1,1,0,0,False
MCH1021,2,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1537.785,ACTIVE,FOOD_SERVICES | GROCERY,1,2,0,0,True
