merchant_id,transaction_count,total_transaction_value,average_transaction_value,unique_users,failed_transaction_count,chargeback_count,chargeback_amount,high_severity_chargeback_count,identity_mismatch_count,disconnected_relationship_count,merchant_reference_record_count,merchant_name,merchant_category,business_type,merchant_status,mcc,city,state,declared_avg_ticket_size,merchant_status_values,merchant_category_values,merchant_status_count,merchant_category_count,invalid_mcc_records,suspended_reference_records,merchant_reference_inconsistency_flag,chargeback_records_per_transaction,chargeback_rate_eligible,chargeback_rate_min_volume,ticket_size_variance_ratio,high_chargeback_rate_flag,high_chargeback_activity_flag,risk_signal_count,risk_explanations,investigation_priority
MCH7045,4.0,54489.72,13622.43,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH5031,4.0,38002.16,9500.54,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH9809,2.0,20984.21,10492.105,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH6928,2.0,25043.27,12521.635,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,MULTIPLE_VALUES,MULTIPLE_VALUES,PARTNERSHIP,ACTIVE,MULTIPLE_VALUES,MULTIPLE_VALUES,MULTIPLE_VALUES,1525.425,ACTIVE,CHEMIST | TELECOM,1.0,2.0,0.0,0.0,True,0.0,False,,8.208620548371766,False,False,1,inconsistent merchant-master records,WATCH
MCH8121,4.0,72426.12,18106.53,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
MCH6773,4.0,68131.54,17032.885,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"parmar, sahota and rajagopalan",MISCELLANEOUS,SOLE_PROPRIETOR,ACTIVE,05999,POONA,MAHARASHTRA,3042.0,ACTIVE,MISCELLANEOUS,1.0,1.0,1.0,0.0,False,0.0,False,,5.599238987508218,False,False,0,No elevated analytical signals in the available data.,LOW
MCH7856,5.0,70365.86,14073.172,5.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,"Sood, Dalal and Butala",HOTELS,PRIVATE_LIMITED,ACTIVE,7011,NEW_DELHI,DELHI,2048.0,ACTIVE,HOTELS,1.0,1.0,0.0,0.0,False,0.2,True,0.2,6.871666015625,True,True,4,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship; high chargeback activity at at least 5 transactions,ELEVATED_REVIEW
MCH7753,3.0,39332.56,13110.853333333333,3.0,0.0,1.0,1130.39,0.0,1.0,1.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.3333333333333333,False,,,False,True,3,high chargeback activity; chargeback identity mismatch; disconnected user-merchant relationship,ELEVATED_REVIEW
MCH9111,3.0,28443.67,9481.223333333333,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Dhar, Thaker and Madan",MISC_RETAIL,PRIVATE_LIMITED,ACTIVE,5999,CALCUTTA,WEST_BENGAL,1785.1,ACTIVE,MISC_RETAIL,1.0,1.0,0.0,0.0,False,0.0,False,,5.311312158049036,False,False,0,No elevated analytical signals in the available data.,LOW
MCH2949,1.0,16466.93,16466.93,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Mahal, Natt and Ghosh",MISCELLANEOUS,PARTNERSHIP,ACTIVE,5999,JAIPUR,RAJASTHAN,,ACTIVE,MISCELLANEOUS,1.0,1.0,0.0,0.0,False,0.0,False,,,False,False,0,No elevated analytical signals in the available data.,LOW
