node_id,node_type,degree,component_id,component_size,transaction_connected_component,risk_signal_count,investigation_priority
USR10001,USER,1,1,8,True,1,WATCH
MCH7754,MERCHANT,3,1,8,True,0,LOW
USR10006,USER,1,2,35,True,1,WATCH
MCH5742,MERCHANT,5,2,35,True,4,ELEVATED_REVIEW
USR10007,USER,2,3,11,True,1,WATCH
MCH2501,MERCHANT,4,3,11,True,0,LOW
MCH8176,MERCHANT,2,3,11,True,0,LOW
USR10011,USER,1,4,8,True,1,WATCH
MCH6493,MERCHANT,4,4,8,True,0,LOW
USR10012,USER,1,5,5,True,1,WATCH
MCH9499,MERCHANT,4,5,5,True,0,LOW
USR10017,USER,1,6,5,True,1,WATCH
MCH3949,MERCHANT,4,6,5,True,0,LOW
USR10027,USER,1,7,3,True,1,WATCH
MCH7654,MERCHANT,2,7,3,True,3,ELEVATED_REVIEW
USR10032,USER,1,8,30,True,1,WATCH
MCH3474,MERCHANT,4,8,30,True,0,LOW
USR10035,USER,1,9,3,True,1,WATCH
MCH7111,MERCHANT,2,9,3,True,0,LOW
USR10044,USER,1,10,15,True,1,WATCH
MCH1264,MERCHANT,5,10,15,True,0,LOW
USR10046,USER,1,11,3,True,1,WATCH
MCH2198,MERCHANT,2,11,3,True,0,LOW
USR10055,USER,1,12,2,True,1,WATCH
MCH4138,MERCHANT,1,12,2,True,0,LOW
USR10060,USER,1,13,2,True,1,WATCH
MCH9608,MERCHANT,1,13,2,True,0,LOW
USR10061,USER,1,14,4,True,1,WATCH
MCH7854,MERCHANT,3,14,4,True,0,LOW
USR10064,USER,1,15,9,True,1,WATCH
MCH5224,MERCHANT,5,15,9,True,0,LOW
USR10069,USER,1,16,6,True,1,WATCH
MCH7948,MERCHANT,5,16,6,True,0,LOW
USR10071,USER,1,17,2,True,1,WATCH
MCH1139,MERCHANT,1,17,2,True,0,LOW
USR10074,USER,2,18,7,True,1,WATCH
MCH6217,MERCHANT,3,18,7,True,0,LOW
MCH7343,MERCHANT,3,18,7,True,0,LOW
USR10075,USER,1,19,6,True,1,WATCH
MCH1278,MERCHANT,5,19,6,True,0,LOW
USR10078,USER,1,20,2,True,2,WATCH
MCH9972,MERCHANT,1,20,2,True,0,LOW
USR10082,USER,1,21,12,True,1,WATCH
MCH3237,MERCHANT,2,21,12,True,2,WATCH
USR10085,USER,2,22,11,True,1,WATCH
MCH8082,MERCHANT,5,22,11,True,0,LOW
MCH9212,MERCHANT,2,22,11,True,0,LOW
USR10086,USER,1,23,3,True,2,WATCH
MCH2137,MERCHANT,2,23,3,True,4,ELEVATED_REVIEW
USR10088,USER,1,24,2,True,1,WATCH
MCH6132,MERCHANT,1,24,2,True,0,LOW
USR10094,USER,1,25,6,True,1,WATCH
MCH1173,MERCHANT,5,25,6,True,0,LOW
USR10100,USER,1,26,5,True,1,WATCH
MCH2458,MERCHANT,4,26,5,True,0,LOW
USR10104,USER,1,27,25,True,1,WATCH
MCH4652,MERCHANT,4,27,25,True,1,WATCH
USR10107,USER,1,28,6,True,1,WATCH
MCH2424,MERCHANT,5,28,6,True,1,WATCH
USR10110,USER,1,29,4,True,1,WATCH
MCH5014,MERCHANT,3,29,4,True,0,LOW
USR10111,USER,1,30,9,True,1,WATCH
MCH5125,MERCHANT,3,30,9,True,0,LOW
USR10119,USER,1,31,3,True,1,WATCH
MCH2039,MERCHANT,2,31,3,True,0,LOW
USR10125,USER,1,32,4,True,1,WATCH
MCH1210,MERCHANT,3,32,4,True,1,WATCH
USR10128,USER,2,33,9,True,1,WATCH
MCH1174,MERCHANT,2,33,9,True,0,LOW
MCH9275,MERCHANT,5,33,9,True,0,LOW
USR10134,USER,1,34,3,True,1,WATCH
MCH2185,MERCHANT,2,34,3,True,1,WATCH
USR10142,USER,1,35,6,True,1,WATCH
MCH3620,MERCHANT,3,35,6,True,0,LOW
USR10143,USER,2,36,10,True,1,WATCH
MCH3727,MERCHANT,2,36,10,True,3,ELEVATED_REVIEW
MCH6078,MERCHANT,2,36,10,True,0,LOW
USR10147,USER,1,37,28,True,1,WATCH
MCH3275,MERCHANT,2,37,28,True,1,WATCH
USR10156,USER,1,38,6,True,1,WATCH
MCH1421,MERCHANT,5,38,6,True,0,LOW
USR10159,USER,1,39,8,True,1,WATCH
MCH2522,MERCHANT,4,39,8,True,4,ELEVATED_REVIEW
USR10160,USER,1,40,9,True,1,WATCH
MCH5990,MERCHANT,3,40,9,True,3,ELEVATED_REVIEW
USR10162,USER,1,41,7,True,1,WATCH
MCH8198,MERCHANT,2,41,7,True,1,WATCH
USR10168,USER,1,42,13,True,1,WATCH
MCH9950,MERCHANT,3,42,13,True,0,LOW
USR10186,USER,1,43,4,True,1,WATCH
MCH8364,MERCHANT,2,43,4,True,0,LOW
USR10190,USER,2,44,7,True,1,WATCH
MCH4895,MERCHANT,4,44,7,True,3,ELEVATED_REVIEW
MCH5597,MERCHANT,2,44,7,True,0,LOW
USR10191,USER,1,45,8,True,1,WATCH
MCH5661,MERCHANT,7,45,8,True,0,LOW
USR10193,USER,1,46,6,True,1,WATCH
MCH9375,MERCHANT,5,46,6,True,0,LOW
USR10195,USER,1,47,5,True,2,WATCH
MCH1412,MERCHANT,4,47,5,True,0,LOW
USR10196,USER,1,48,4,True,1,WATCH
MCH4153,MERCHANT,3,48,4,True,3,ELEVATED_REVIEW
USR10197,USER,1,49,17,True,1,WATCH
MCH6735,MERCHANT,6,49,17,True,0,LOW
USR10201,USER,1,50,5,True,1,WATCH
MCH1897,MERCHANT,4,50,5,True,0,LOW
USR10207,USER,1,51,6,True,2,WATCH
MCH4636,MERCHANT,3,51,6,True,0,LOW
USR10208,USER,1,52,11,True,1,WATCH
MCH2346,MERCHANT,4,52,11,True,0,LOW
USR10226,USER,1,53,7,True,1,WATCH
MCH1277,MERCHANT,3,53,7,True,1,WATCH
USR10250,USER,1,54,3,True,1,WATCH
MCH7688,MERCHANT,2,54,3,True,0,LOW
USR10255,USER,1,55,17,True,1,WATCH
MCH6246,MERCHANT,6,55,17,True,1,WATCH
USR10259,USER,1,56,6,True,1,WATCH
MCH2840,MERCHANT,2,56,6,True,0,LOW
USR10261,USER,1,57,7,True,1,WATCH
MCH1485,MERCHANT,3,57,7,True,3,ELEVATED_REVIEW
USR10264,USER,1,58,15,True,1,WATCH
MCH7016,MERCHANT,4,58,15,True,0,LOW
USR10270,USER,1,49,17,True,1,WATCH
USR10273,USER,1,59,23,True,1,WATCH
MCH6512,MERCHANT,3,59,23,True,0,LOW
USR10276,USER,1,60,6,True,1,WATCH
MCH8795,MERCHANT,5,60,6,True,0,LOW
USR10279,USER,1,61,11,True,1,WATCH
MCH9877,MERCHANT,3,61,11,True,1,WATCH
USR10286,USER,1,62,5,True,1,WATCH
MCH6287,MERCHANT,4,62,5,True,0,LOW
USR10288,USER,1,63,4,True,5,ELEVATED_REVIEW
MCH8939,MERCHANT,3,63,4,True,0,LOW
USR10294,USER,1,64,18,True,1,WATCH
MCH8976,MERCHANT,4,64,18,True,4,ELEVATED_REVIEW
USR10295,USER,1,65,6,True,1,WATCH
MCH7985,MERCHANT,5,65,6,True,0,LOW
USR10301,USER,1,66,3,True,1,WATCH
MCH9934,MERCHANT,2,66,3,True,0,LOW
USR10303,USER,1,67,8,True,1,WATCH
MCH2245,MERCHANT,4,67,8,True,0,LOW
USR10317,USER,1,68,3,True,1,WATCH
MCH6444,MERCHANT,2,68,3,True,0,LOW
USR10322,USER,1,69,3,True,1,WATCH
MCH8055,MERCHANT,2,69,3,True,1,WATCH
USR10325,USER,1,70,14,True,1,WATCH
MCH3948,MERCHANT,3,70,14,True,0,LOW
USR10326,USER,1,71,5,True,1,WATCH
MCH2326,MERCHANT,3,71,5,True,0,LOW
USR10330,USER,1,72,5,True,1,WATCH
MCH1129,MERCHANT,4,72,5,True,0,LOW
USR10342,USER,1,73,3,True,1,WATCH
MCH8398,MERCHANT,2,73,3,True,3,ELEVATED_REVIEW
USR10347,USER,1,74,8,True,2,WATCH
MCH5231,MERCHANT,5,74,8,True,1,WATCH
USR10349,USER,1,75,3,True,1,WATCH
MCH1637,MERCHANT,2,75,3,True,0,LOW
USR10352,USER,2,76,10,True,1,WATCH
MCH2182,MERCHANT,3,76,10,True,0,LOW
MCH3445,MERCHANT,3,76,10,True,0,LOW
USR10358,USER,2,77,15,True,1,WATCH
