user_id,transaction_count,total_transaction_value,average_transaction_value,unique_merchants,failed_transaction_count,pending_transaction_count,high_value_transaction_count,amount_anomaly_count,chargeback_count,disputed_amount,high_severity_chargeback_count,unauthorized_transaction_count,account_takeover_count,identity_mismatch_count,disconnected_relationship_count,kyc_record_count,kyc_status_values,kyc_status_count,risk_segment_values,risk_segment_count,rejected_kyc_records,high_risk_kyc_records,pending_kyc_records,median_monthly_income,city_values,occupation_values,invalid_pan_records,invalid_aadhaar_records,latest_kyc_status,latest_risk_segment,latest_signup_timestamp,profile_inconsistency_flag,high_transaction_frequency_flag,high_chargeback_activity_flag,risk_signal_count,risk_explanations,investigation_priority
USR45826,1.0,15722.34,15722.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,True,False,1,unusually high transaction frequency,WATCH
USR79397,1.0,6362.9,6362.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,REJECTED | VERIFIED,2.0,LOW | MEDIUM,2.0,1.0,0.0,0.0,21759.5,ASR | CHENNAI,SELF_EMPLOYED,0.0,0.0,VERIFIED,MEDIUM,2024-03-19 00:00:00,True,True,False,2,unusually high transaction frequency; rejected KYC record,WATCH
USR87810,1.0,15446.19,15446.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,True,False,1,unusually high transaction frequency,WATCH
USR54287,2.0,24247.309999999998,12123.654999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,True,False,1,unusually high transaction frequency,WATCH
USR53865,1.0,19432.94,19432.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,True,False,1,unusually high transaction frequency,WATCH
USR90546,2.0,20006.32,10003.16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REJECTED,1.0,LOW,1.0,1.0,0.0,0.0,,PUNE,UNEMPLOYED,0.0,0.0,REJECTED,LOW,2025-12-19 17:58:02,False,True,False,2,unusually high transaction frequency; rejected KYC record,WATCH
USR18691,1.0,19982.69,19982.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,VERIFIED,1.0,LOW,1.0,0.0,0.0,0.0,92548.0,MUMBAI,BUSINESS_OWNER,0.0,0.0,VERIFIED,LOW,,False,True,False,1,unusually high transaction frequency,WATCH
USR16629,2.0,31429.629999999997,15714.814999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,True,False,1,unusually high transaction frequency,WATCH
USR20899,1.0,8256.07,8256.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,VERIFIED,1.0,LOW,1.0,0.0,0.0,0.0,,POONA,RETIRED,1.0,0.0,VERIFIED,LOW,2025-08-21 16:20:51,False,True,False,1,unusually high transaction frequency,WATCH
USR51755,1.0,16466.93,16466.93,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,True,False,1,unusually high transaction frequency,WATCH
